Rk,Tm,G,Pnt,Yds,Y/P,Blck,Year
1,Buffalo Bills,16,64,2921,45.6,0,2022
2,Detroit Lions,17,55,2540,46.2,0,2022
3,Kansas City Chiefs,17,68,3240,47.6,0,2022
4,Green Bay Packers,17,60,2779,46.3,0,2022
5,Philadelphia Eagles,17,73,3569,48.9,0,2022
6,Baltimore Ravens,17,68,3180,46.8,0,2022
7,Jacksonville Jaguars,17,60,2788,46.5,0,2022
8,Cincinnati Bengals,16,63,2991,47.5,0,2022
9,Las Vegas Raiders,17,56,2666,47.6,1,2022
10,San Francisco 49ers,17,75,3589,47.9,0,2022
11,Cleveland Browns,17,64,2945,46.0,0,2022
12,Miami Dolphins,17,67,2925,43.7,1,2022
13,Atlanta Falcons,17,54,2446,45.3,2,2022
14,Seattle Seahawks,17,62,2926,47.2,0,2022
15,Dallas Cowboys,17,71,3273,46.1,1,2022
16,Chicago Bears,17,51,2485,48.7,0,2022
17,Arizona Cardinals,17,71,3365,47.4,0,2022
18,Pittsburgh Steelers,17,68,3148,46.3,0,2022
19,Indianapolis Colts,17,75,3478,46.4,1,2022
20,Los Angeles Chargers,17,66,3223,48.8,0,2022
21,Los Angeles Rams,17,59,2810,47.6,0,2022
22,Minnesota Vikings,17,60,2663,44.4,2,2022
23,New York Giants,17,67,3065,45.7,1,2022
24,New Orleans Saints,17,80,3563,44.5,0,2022
25,Tampa Bay Buccaneers,17,88,4297,48.8,0,2022
26,New England Patriots,17,71,3187,44.9,1,2022
27,Carolina Panthers,17,78,3581,45.9,0,2022
28,New York Jets,17,77,3428,44.5,2,2022
29,Washington Commanders,17,87,4137,47.6,0,2022
30,Houston Texans,17,73,3458,47.4,0,2022
31,Tennessee Titans,17,84,3789,45.1,0,2022
32,Denver Broncos,17,85,4374,51.5,0,2022
1,Kansas City Chiefs,17,52,2502,48.1,0,2021
2,Los Angeles Chargers,17,46,2104,45.7,0,2021
3,Los Angeles Rams,17,62,2858,46.1,0,2021
4,Arizona Cardinals,17,58,2714,46.8,0,2021
5,Green Bay Packers,17,57,2648,46.5,0,2021
6,Buffalo Bills,17,75,3394,45.3,1,2021
7,New England Patriots,17,55,2580,46.9,0,2021
8,Philadelphia Eagles,17,63,2744,43.6,1,2021
9,Tennessee Titans,17,67,2986,44.6,0,2021
10,San Francisco 49ers,17,70,3405,48.6,0,2021
11,Indianapolis Colts,17,62,2750,44.4,2,2021
12,Tampa Bay Buccaneers,17,70,3124,44.6,0,2021
13,Chicago Bears,17,63,2823,44.8,0,2021
14,Washington Commanders,17,63,2924,46.4,0,2021
15,Las Vegas Raiders,17,68,3173,46.7,0,2021
16,Detroit Lions,17,47,2154,45.8,0,2021
17,Dallas Cowboys,17,71,3125,44.0,3,2021
18,Cincinnati Bengals,17,74,3279,44.3,0,2021
19,Atlanta Falcons,17,53,2485,46.9,0,2021
20,Cleveland Browns,17,71,3425,48.2,0,2021
21,Denver Broncos,17,60,3021,50.4,0,2021
22,Baltimore Ravens,17,83,3788,45.6,0,2021
23,New York Jets,17,59,2475,41.9,0,2021
24,Jacksonville Jaguars,17,64,2882,45.0,0,2021
25,New York Giants,17,67,2912,43.5,0,2021
26,Pittsburgh Steelers,17,78,3473,44.5,2,2021
27,Carolina Panthers,17,75,3397,45.3,1,2021
28,Miami Dolphins,17,75,3308,44.1,1,2021
