Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays.1,Yds,Start,Time,Pts,Year
1,Philadelphia Eagles,10,103,636,34.0,11.7,6.2,31.5,Own 28.9,2:39,1.99,2023
2,Tennessee Titans,10,103,661,44.7,5.8,6.4,33.3,Own 27.8,3:01,2.08,2023
3,Denver Broncos,10,104,648,45.2,16.3,6.2,38.1,Own 30.4,2:59,2.47,2023
4,Tampa Bay Buccaneers,10,106,653,37.7,15.1,6.2,34.1,Own 25.8,2:53,1.89,2023
5,Kansas City Chiefs,10,106,608,25.5,13.2,5.7,26.5,Own 29.4,2:41,1.44,2023
6,Carolina Panthers,10,107,628,41.1,5.6,5.9,28.7,Own 31.3,2:45,2.32,2023
7,Los Angeles Rams,10,107,661,40.2,8.4,6.2,31.3,Own 31.3,2:52,1.95,2023
8,Houston Texans,10,108,655,37.0,11.1,6.1,31.3,Own 28.3,2:48,1.93,2023
9,Los Angeles Chargers,10,110,691,39.1,12.7,6.3,35.6,Own 28.4,2:53,2.19,2023
10,Miami Dolphins,10,111,648,34.2,10.8,5.8,28.8,Own 28.9,2:44,1.89,2023
11,Cincinnati Bengals,10,112,648,38.4,16.1,5.8,34.4,Own 27.5,2:39,2.01,2023
12,San Francisco 49ers,11,113,696,30.1,17.7,6.2,28.7,Own 25.4,2:45,1.47,2023
13,New England Patriots,10,113,681,36.3,8.8,6.0,28.9,Own 29.3,2:54,1.83,2023
14,Pittsburgh Steelers,10,114,708,35.1,16.7,6.2,32.2,Own 28.6,2:50,1.68,2023
15,Atlanta Falcons,10,114,641,36.8,8.8,5.6,27.0,Own 29.3,2:35,1.84,2023
16,Chicago Bears,11,114,699,40.4,10.5,6.1,31.4,Own 32.0,2:46,2.19,2023
17,Jacksonville Jaguars,10,115,638,29.6,15.7,5.5,29.7,Own 26.7,2:29,1.65,2023
18,Buffalo Bills,11,116,685,31.9,15.5,5.9,29.8,Own 27.9,2:48,1.61,2023
19,Green Bay Packers,11,117,751,36.8,10.3,6.4,32.0,Own 27.1,2:57,1.85,2023
20,Detroit Lions,11,117,680,37.6,10.3,5.8,29.9,Own 27.5,2:39,2.05,2023
21,Arizona Cardinals,11,118,736,42.4,9.3,6.2,32.6,Own 32.9,2:59,2.36,2023
22,Las Vegas Raiders,11,118,734,36.4,11.9,6.2,31.9,Own 26.6,2:59,1.87,2023
23,New Orleans Saints,10,119,641,31.9,14.3,5.4,26.2,Own 26.5,2:26,1.60,2023
24,Minnesota Vikings,11,120,724,36.7,11.7,6.0,29.4,Own 30.6,2:46,1.83,2023
25,Dallas Cowboys,11,120,667,27.5,14.2,5.6,25.2,Own 27.5,2:36,1.56,2023
26,New York Jets,10,122,701,34.4,12.3,5.7,25.9,Own 29.2,2:41,1.59,2023
27,Seattle Seahawks,11,124,764,37.1,12.1,6.2,30.8,Own 27.3,2:55,2.02,2023
28,Indianapolis Colts,10,125,722,37.6,12.8,5.8,28.4,Own 29.0,2:34,1.93,2023
29,Baltimore Ravens,11,126,738,29.4,9.5,5.9,23.9,Own 27.7,2:33,1.29,2023
30,Cleveland Browns,10,129,553,21.7,11.6,4.3,18.8,Own 29.5,2:01,1.24,2023
31,New York Giants,11,130,720,36.2,11.5,5.5,31.5,Own 29.7,2:33,2.04,2023
32,Washington Commanders,12,134,790,45.5,9.0,5.9,33.8,Own 29.7,2:35,2.41,2023
