Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,QBHits,TFL,Sk%,NY/A,ANY/A,EXP,Year
1,Cleveland Browns,11,159,286,55.6,1562,10,3.5,9,48,3.1,6.3,5.6,11.3,142.0,73.2,34,237,72,70,10.6,4.9,4.2,54.17,2023
2,Dallas Cowboys,11,195,325,60.0,1839,14,4.3,12,51,3.7,6.4,5.6,10.6,167.2,77.7,37,237,68,58,10.2,5.1,4.4,40.15,2023
3,Kansas City Chiefs,11,213,346,61.6,1943,13,3.8,6,47,1.7,6.2,6.2,10.1,176.6,84.6,37,212,77,52,9.7,5.1,5.0,35.84,2023
4,Carolina Panthers,11,211,322,65.5,1976,13,4.0,5,43,1.6,6.5,6.6,10.0,179.6,90.9,18,126,50,50,5.3,5.8,5.9,-30.87,2023
5,New York Jets,11,220,347,63.4,2015,13,3.7,12,53,3.5,6.3,5.5,9.9,183.2,79.2,28,170,73,63,7.5,5.4,4.6,8.06,2023
6,Baltimore Ravens,12,270,446,60.5,2060,10,2.2,11,69,2.5,5.5,4.8,9.0,171.7,72.5,47,374,87,62,9.5,4.2,3.6,71.44,2023
7,New Orleans Saints,11,211,358,58.9,2159,14,3.9,14,72,3.9,6.3,5.4,10.8,196.3,74.4,18,114,46,40,4.8,5.7,4.8,-2.46,2023
8,Green Bay Packers,11,230,357,64.4,2256,12,3.4,5,49,1.4,6.8,6.8,10.5,205.1,89.3,26,158,66,51,6.8,5.9,5.9,-22.18,2023
9,Atlanta Falcons,11,227,361,62.9,2300,17,4.7,6,46,1.7,6.8,7.0,10.8,209.1,91.5,22,149,65,46,5.7,6.0,6.2,-34.75,2023
10,Miami Dolphins,11,258,378,68.3,2336,16,4.2,9,51,2.4,6.9,6.6,10.0,212.4,91.7,38,254,86,57,9.1,5.6,5.4,19.09,2023
