Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP,Year
1,Philadelphia Eagles,10,190,765,3,4.0,76.5,0.79,2023
2,Jacksonville Jaguars,10,225,870,6,3.9,87.0,1.30,2023
3,Chicago Bears,11,258,875,6,3.4,79.5,19.12,2023
4,Tampa Bay Buccaneers,10,241,900,4,3.7,90.0,30.87,2023
5,San Francisco 49ers,11,225,902,5,4.0,82.0,-3.77,2023
6,Houston Texans,10,264,965,12,3.7,96.5,8.82,2023
7,New England Patriots,10,287,977,9,3.4,97.7,37.94,2023
8,Miami Dolphins,10,261,992,9,3.8,99.2,-6.21,2023
9,Cleveland Browns,10,242,996,10,4.1,99.6,17.64,2023
10,Detroit Lions,11,260,1004,8,3.9,91.3,11.12,2023
11,Los Angeles Chargers,10,252,1020,12,4.0,102.0,-3.76,2023
12,Minnesota Vikings,11,281,1034,7,3.7,94.0,21.09,2023
13,Atlanta Falcons,10,276,1084,4,3.9,108.4,28.89,2023
14,Tennessee Titans,10,291,1123,7,3.9,112.3,13.40,2023
15,Kansas City Chiefs,10,249,1124,6,4.5,112.4,-7.42,2023
16,New Orleans Saints,10,264,1136,6,4.3,113.6,10.71,2023
17,Baltimore Ravens,11,267,1141,4,4.3,103.7,8.79,2023
18,Los Angeles Rams,10,283,1173,10,4.1,117.3,2.70,2023
19,Dallas Cowboys,11,291,1200,8,4.1,109.1,9.72,2023
20,Buffalo Bills,11,268,1215,6,4.5,110.5,11.46,2023
21,Pittsburgh Steelers,10,290,1277,6,4.4,127.7,1.70,2023
22,Carolina Panthers,10,302,1294,16,4.3,129.4,-13.51,2023
23,Seattle Seahawks,11,305,1295,14,4.2,117.7,-3.14,2023
24,Indianapolis Colts,10,318,1297,15,4.1,129.7,-14.24,2023
25,Washington Commanders,12,305,1357,7,4.4,113.1,4.53,2023
26,New York Jets,10,328,1376,5,4.2,137.6,6.49,2023
27,Cincinnati Bengals,10,274,1383,11,5.0,138.3,-30.51,2023
28,Arizona Cardinals,11,344,1453,15,4.2,132.1,-11.80,2023
29,Las Vegas Raiders,11,324,1455,10,4.5,132.3,-7.84,2023
30,New York Giants,11,309,1486,17,4.8,135.1,-10.51,2023
31,Green Bay Packers,11,341,1487,10,4.4,135.2,-3.08,2023
32,Denver Broncos,10,292,1600,11,5.5,160.0,-26.88,2023
