Rk,Tm,G,Ret,Yds,TD,Y/R,Rt,Yds.1,TD.1,Y/Rt,Year
1,Green Bay Packers,11,19,253,1,13.3,22,504,0,22.9,2023
2,Cleveland Browns,10,25,275,0,11.0,15,272,0,18.1,2023
3,San Francisco 49ers,11,15,161,0,10.7,25,583,0,23.3,2023
4,Tampa Bay Buccaneers,10,22,267,0,12.1,15,277,0,18.5,2023
5,Seattle Seahawks,11,23,136,0,5.9,14,319,0,22.8,2023
6,Buffalo Bills,11,13,155,1,11.9,23,470,0,20.4,2023
7,New England Patriots,10,23,210,0,9.1,12,281,0,23.4,2023
8,Tennessee Titans,10,18,212,0,11.8,16,344,0,21.5,2023
9,Indianapolis Colts,10,24,256,0,10.7,10,256,0,25.6,2023
10,New York Giants,11,25,133,0,5.3,8,222,0,27.8,2023
11,Pittsburgh Steelers,10,22,202,0,9.2,11,280,0,25.5,2023
12,Arizona Cardinals,11,30,303,0,10.1,3,63,0,21.0,2023
13,Houston Texans,10,13,64,0,4.9,19,422,0,22.2,2023
14,Las Vegas Raiders,11,16,125,0,7.8,16,338,0,21.1,2023
15,Baltimore Ravens,11,21,281,1,13.4,9,199,0,22.1,2023
16,New York Jets,10,26,306,1,11.8,4,60,0,15.0,2023
17,Detroit Lions,11,10,64,0,6.4,18,369,0,20.5,2023
18,Chicago Bears,11,20,294,1,14.7,8,188,0,23.5,2023
19,Carolina Panthers,10,18,118,0,6.6,10,247,0,24.7,2023
20,Washington Commanders,12,27,230,0,8.5,,,0,,2023
21,Minnesota Vikings,11,14,114,0,8.1,13,312,0,24.0,2023
22,Philadelphia Eagles,10,16,162,0,10.1,10,302,0,30.2,2023
23,Los Angeles Rams,10,19,216,0,11.4,7,212,0,30.3,2023
24,Atlanta Falcons,10,19,239,0,12.6,7,153,0,21.9,2023
25,Jacksonville Jaguars,10,14,95,0,6.8,10,269,1,26.9,2023
26,Denver Broncos,10,20,127,0,6.4,3,53,0,17.7,2023
27,Cincinnati Bengals,10,17,136,0,8.0,6,113,0,18.8,2023
28,New Orleans Saints,10,18,92,0,5.1,4,84,0,21.0,2023
29,Los Angeles Chargers,10,14,120,0,8.6,7,146,0,20.9,2023
30,Miami Dolphins,10,9,62,0,6.9,10,304,1,30.4,2023
31,Dallas Cowboys,11,16,130,0,8.1,3,93,0,31.0,2023
32,Kansas City Chiefs,10,12,156,0,13.0,2,50,0,25.0,2023
