Rk,Tm,G,FGA,FGM,FG%,XPA,XPM,XP%,Year
1,New England Patriots,11,25,21,84.0%,24,23,95.8%,2023
2,New York Jets,11,32,27,84.4%,20,19,95.0%,2023
3,Arizona Cardinals,12,23,19,82.6%,37,36,97.3%,2023
4,New York Giants,12,22,16,72.7%,34,32,94.1%,2023
5,Pittsburgh Steelers,11,26,23,88.5%,14,12,85.7%,2023
6,Carolina Panthers,11,16,16,100.0%,33,32,97.0%,2023
7,Tampa Bay Buccaneers,11,25,22,88.0%,19,19,100.0%,2023
8,Tennessee Titans,11,28,28,100.0%,19,18,94.7%,2023
9,Atlanta Falcons,11,27,26,96.3%,20,20,100.0%,2023
10,Chicago Bears,11,24,18,75.0%,29,28,96.6%,2023
11,Las Vegas Raiders,12,24,21,87.5%,27,25,92.6%,2023
12,Green Bay Packers,11,27,21,77.8%,19,17,89.5%,2023
13,Cincinnati Bengals,11,23,22,95.7%,23,22,95.7%,2023
14,Washington Commanders,12,27,26,96.3%,35,34,97.1%,2023
15,Denver Broncos,11,23,20,87.0%,28,28,100.0%,2023
16,Detroit Lions,11,21,17,81.0%,26,25,96.2%,2023
17,Cleveland Browns,11,16,11,68.8%,24,24,100.0%,2023
18,Kansas City Chiefs,11,13,10,76.9%,19,19,100.0%,2023
19,Los Angeles Chargers,11,19,17,89.5%,29,27,93.1%,2023
20,Jacksonville Jaguars,11,16,12,75.0%,25,25,100.0%,2023
21,New Orleans Saints,11,23,20,87.0%,20,20,100.0%,2023
22,Houston Texans,11,26,21,80.8%,20,19,95.0%,2023
23,Los Angeles Rams,11,29,23,79.3%,19,19,100.0%,2023
24,Minnesota Vikings,11,25,22,88.0%,20,20,100.0%,2023
25,Seattle Seahawks,11,22,18,81.8%,28,27,96.4%,2023
26,Indianapolis Colts,11,29,24,82.8%,26,26,100.0%,2023
27,Philadelphia Eagles,11,14,12,85.7%,26,26,100.0%,2023
28,Miami Dolphins,11,16,14,87.5%,30,29,96.7%,2023
29,San Francisco 49ers,11,22,18,81.8%,15,14,93.3%,2023
30,Dallas Cowboys,11,14,11,78.6%,18,18,100.0%,2023
31,Buffalo Bills,12,20,19,95.0%,17,16,94.1%,2023
32,Baltimore Ravens,12,26,25,96.2%,11,10,90.9%,2023
,Avg Team,,22.6,19.4,85.8%,23.6,22.8,96.7%,2023
,League Total,,723,620,85.8%,754,729,96.7%,2023
,Avg Tm/G,,2.0,1.7,85.8%,2.1,2.0,96.7%,2023
