Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Year
1,San Francisco 49ers,11,5,11.1,Unnamed: 5,Unnamed: 6,Unnamed: 7,1.1,Unnamed: 9,17,Unnamed: 11,2,Unnamed: 13,14,15,18,22,Unnamed: 18,170,15.5,2023
2,Baltimore Ravens,11,4,9,1,,,1,,15,2,5,,9,10,24,25,1,177,16.1,2023
3,Kansas City Chiefs,10,6,12,,,,1,,19,2,2,,17,17,9,11,1,164,16.4,2023
4,Dallas Cowboys,11,8,14,,,,,,22,1,4,,18,18,11,14,,185,16.8,2023
5,Buffalo Bills,11,6,13,1,,,,,20,2,6,,12,13,18,19,,190,17.3,2023
6,Cleveland Browns,10,10,9,,,1,2,,22,,1,,21,21,9,14,,180,18.0,2023
7,Pittsburgh Steelers,10,6,12,,,,,,18,5,5,,11,13,22,25,,195,19.5,2023
8,New Orleans Saints,10,6,13,,,,1,,20,2,3,,17,17,19,22,,198,19.8,2023
9,Tampa Bay Buccaneers,10,4,16,,,,,,20,1,4,,16,16,20,22,1,200,20.0,2023
10,Green Bay Packers,11,10,12,1,,,,,23,3,4,,17,19,21,27,,224,20.4,2023
11,New York Jets,10,5,12,1,,,,,18,2,2,,15,16,25,30,1,204,20.4,2023
12,Jacksonville Jaguars,10,6,16,,1,1,,,24,1,2,,22,22,12,14,,204,20.4,2023
13,Las Vegas Raiders,11,10,13,,,,1,,24,,1,,21,23,20,23,,225,20.5,2023
14,Houston Texans,10,12,10,,,,,,22,2,3,,18,19,18,22,,208,20.8,2023
15,Minnesota Vikings,11,7,15,,,,1,,23,2,3,,20,20,22,25,1,230,20.9,2023
16,Philadelphia Eagles,10,3,21,,,1,1,,26,2,4,,22,22,10,10,,212,21.2,2023
17,Tennessee Titans,10,7,12,,,,,,19,1,1,,17,18,27,27,,214,21.4,2023
18,Atlanta Falcons,10,4,17,,,,1,,22,1,2,,20,20,21,21,,217,21.7,2023
19,Los Angeles Rams,10,10,10,,,,1,,21,2,2,,19,19,23,28,1,220,22.0,2023
20,Cincinnati Bengals,10,11,13,,,,,,24,2,2,,21,22,19,20,,226,22.6,2023
21,Seattle Seahawks,11,14,14,,,,,,28,,0,,27,28,18,22,,249,22.6,2023
22,Detroit Lions,11,8,19,,,1,2,,30,1,3,,25,26,17,21,,258,23.5,2023
23,New England Patriots,10,9,12,,,1,3,,25,2,2,,22,23,20,24,1,238,23.8,2023
24,Los Angeles Chargers,10,12,16,,,,,,28,,1,,25,27,15,16,,238,23.8,2023
25,Miami Dolphins,10,9,15,,1,1,2,,28,,0,,28,28,14,16,,238,23.8,2023
26,Indianapolis Colts,10,15,10,,,1,,,26,,1,,24,24,22,27,1,248,24.8,2023
27,Arizona Cardinals,11,15,17,,,,1,,33,,1,,32,32,18,21,,284,25.8,2023
28,New York Giants,11,17,14,,,,2,1,34,1,1,,31,33,16,21,,285,25.9,2023
29,Chicago Bears,11,6,22,1,,2,2,,33,2,4,,28,29,18,24,1,286,26.0,2023
30,Denver Broncos,10,11,18,,,1,,,30,2,2,,28,28,18,21,1,268,26.8,2023
31,Carolina Panthers,10,16,13,,,1,3,,33,1,2,,30,31,15,15,,275,27.5,2023
32,Washington Commanders,12,7,28,,,1,3,,39,2,4,,34,35,26,27,,350,29.2,2023
