Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,Year
1,Cleveland Browns,10,126,32,25.4%,6,4,66.7%,21,13,61.9%,2023
2,Atlanta Falcons,10,128,44,34.4%,10,5,50.0%,29,13,44.8%,2023
3,Jacksonville Jaguars,10,130,44,33.8%,25,12,48.0%,32,15,46.9%,2023
4,Denver Broncos,10,114,44,38.6%,19,10,52.6%,38,20,52.6%,2023
5,Kansas City Chiefs,10,126,45,35.7%,16,7,43.8%,27,16,59.3%,2023
6,Carolina Panthers,10,126,46,36.5%,7,5,71.4%,34,24,70.6%,2023
7,Miami Dolphins,10,128,46,35.9%,18,7,38.9%,32,21,65.6%,2023
8,Detroit Lions,11,127,46,36.2%,17,10,58.8%,35,24,68.6%,2023
9,Los Angeles Chargers,10,129,46,35.7%,24,15,62.5%,36,19,52.8%,2023
10,New Orleans Saints,10,138,48,34.8%,10,5,50.0%,29,16,55.2%,2023
11,Dallas Cowboys,11,143,49,34.3%,24,13,54.2%,28,16,57.1%,2023
12,New York Giants,11,140,50,35.7%,12,5,41.7%,40,25,62.5%,2023
13,Cincinnati Bengals,10,121,53,43.8%,8,2,25.0%,39,21,53.8%,2023
14,Los Angeles Rams,10,132,53,40.2%,13,9,69.2%,32,16,50.0%,2023
15,Tennessee Titans,10,135,54,40.0%,12,8,66.7%,37,14,37.8%,2023
16,Houston Texans,10,134,55,41.0%,13,5,38.5%,33,17,51.5%,2023
17,San Francisco 49ers,11,138,55,39.9%,15,6,40.0%,25,13,52.0%,2023
18,New England Patriots,10,139,55,39.6%,12,8,66.7%,33,15,45.5%,2023
19,Pittsburgh Steelers,10,143,56,39.2%,13,6,46.2%,30,12,40.0%,2023
20,Buffalo Bills,11,145,56,38.6%,16,9,56.3%,33,16,48.5%,2023
21,Indianapolis Colts,10,146,56,38.4%,16,10,62.5%,31,17,54.8%,2023
22,Philadelphia Eagles,10,132,57,43.2%,24,11,45.8%,32,20,62.5%,2023
23,Baltimore Ravens,11,162,57,35.2%,19,7,36.8%,29,11,37.9%,2023
24,New York Jets,10,149,59,39.6%,5,4,80.0%,29,12,41.4%,2023
25,Las Vegas Raiders,11,143,60,42.0%,15,7,46.7%,32,20,62.5%,2023
26,Tampa Bay Buccaneers,10,135,63,46.7%,10,4,40.0%,32,11,34.4%,2023
27,Minnesota Vikings,11,152,63,41.4%,16,10,62.5%,30,16,53.3%,2023
28,Green Bay Packers,11,158,63,39.9%,22,11,50.0%,37,18,48.6%,2023
29,Washington Commanders,12,162,64,39.5%,15,9,60.0%,36,20,55.6%,2023
30,Arizona Cardinals,11,139,65,46.8%,11,4,36.4%,49,28,57.1%,2023
31,Seattle Seahawks,11,152,67,44.1%,17,6,35.3%,31,20,64.5%,2023
32,Chicago Bears,11,143,68,47.6%,13,8,61.5%,32,24,75.0%,2023
