Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP,Year
1,Chicago Bears,17,558,3014,18,67,5.4,177.3,33,69.64,2022
2,Baltimore Ravens,17,526,2720,14,79,5.2,160.0,21,48.10,2022
3,Atlanta Falcons,17,559,2718,17,44,4.9,159.9,21,46.17,2022
4,New York Giants,17,520,2519,21,68,4.8,148.2,19,72.99,2022
5,Philadelphia Eagles,17,544,2509,32,42,4.6,147.6,23,103.16,2022
6,Cleveland Browns,17,532,2490,19,41,4.7,146.5,15,42.95,2022
7,San Francisco 49ers,17,504,2360,20,71,4.7,138.8,16,0.97,2022
8,Dallas Cowboys,17,531,2298,24,57,4.3,135.2,14,22.34,2022
9,Buffalo Bills,16,430,2232,15,44,5.2,139.5,24,33.20,2022
10,Carolina Panthers,17,483,2210,16,60,4.6,130.0,29,26.76,2022
11,Detroit Lions,17,480,2179,23,58,4.5,128.2,16,-6.74,2022
12,Washington Commanders,17,538,2143,9,33,4.0,126.1,21,-10.65,2022
13,Tennessee Titans,17,487,2131,16,56,4.4,125.4,23,-6.24,2022
14,Jacksonville Jaguars,17,448,2116,16,62,4.7,124.5,19,14.37,2022
15,Green Bay Packers,17,456,2113,12,46,4.6,124.3,25,22.33,2022
16,Pittsburgh Steelers,17,500,2073,16,36,4.1,121.9,16,24.47,2022
17,Las Vegas Raiders,17,428,2059,12,86,4.8,121.1,17,16.26,2022
18,Seattle Seahawks,17,425,2042,12,74,4.8,120.1,19,10.28,2022
19,New Orleans Saints,17,465,1982,12,60,4.3,116.6,23,-26.09,2022
20,Kansas City Chiefs,17,417,1970,18,52,4.7,115.9,21,53.34,2022
21,Denver Broncos,17,444,1935,11,52,4.4,113.8,26,-14.05,2022
22,Arizona Cardinals,17,434,1873,15,45,4.3,110.2,25,16.79,2022
23,Indianapolis Colts,17,439,1866,8,66,4.3,109.8,37,-39.04,2022
24,New England Patriots,17,425,1812,12,49,4.3,106.6,23,-30.44,2022
25,New York Jets,17,405,1686,13,62,4.2,99.2,21,-8.50,2022
26,Miami Dolphins,17,390,1686,12,67,4.3,99.2,16,-5.37,2022
27,Minnesota Vikings,17,404,1661,18,81,4.1,97.7,18,-15.37,2022
28,Los Angeles Rams,17,411,1661,15,42,4.0,97.7,16,3.23,2022
29,Cincinnati Bengals,16,399,1528,14,40,3.8,95.5,11,4.57,2022
30,Los Angeles Chargers,17,404,1524,15,72,3.8,89.6,19,4.74,2022
31,Houston Texans,17,398,1476,7,75,3.7,86.8,22,-45.95,2022
32,Tampa Bay Buccaneers,17,386,1308,5,35,3.4,76.9,17,-60.79,2022
1,Philadelphia Eagles,17,550,2715,25,38,4.9,159.7,22,64.65,2021
2,Indianapolis Colts,17,499,2540,22,83,5.1,149.4,21,60.03,2021
3,Baltimore Ravens,17,517,2479,18,46,4.8,145.8,21,47.60,2021
4,Cleveland Browns,17,485,2471,20,70,5.1,145.4,20,54.65,2021
5,Tennessee Titans,17,551,2404,23,76,4.4,141.4,25,25.43,2021
6,Buffalo Bills,17,461,2209,20,46,4.8,129.9,24,58.02,2021
7,San Francisco 49ers,17,499,2166,22,49,4.3,127.4,23,-15.99,2021
8,New England Patriots,17,489,2151,24,64,4.4,126.5,20,20.67,2021
9,Dallas Cowboys,17,473,2119,15,58,4.5,124.6,26,10.38,2021
10,Arizona Cardinals,17,496,2076,23,57,4.2,122.1,30,16.80,2021
11,Seattle Seahawks,17,413,2074,18,73,5.0,122.0,17,47.42,2021
12,Washington Commanders,17,477,2061,13,38,4.3,121.2,25,5.87,2021
13,Denver Broncos,17,455,2025,16,70,4.5,119.1,12,-12.92,2021
14,Chicago Bears,17,475,2018,14,41,4.2,118.7,25,18.64,2021
15,New Orleans Saints,17,510,1991,12,44,3.9,117.1,14,-15.55,2021
16,Kansas City Chiefs,17,431,1955,16,51,4.5,115.0,23,40.16,2021
17,Minnesota Vikings,17,449,1930,10,66,4.3,113.5,21,-36.93,2021
18,Green Bay Packers,17,446,1900,13,57,4.3,111.8,18,23.40,2021
19,Detroit Lions,17,427,1886,12,57,4.4,110.9,17,-21.10,2021
20,Carolina Panthers,17,455,1842,17,33,4.0,108.4,20,-1.27,2021
21,Los Angeles Chargers,17,423,1834,18,75,4.3,107.9,10,10.08,2021
22,Jacksonville Jaguars,17,392,1755,13,66,4.5,103.2,21,-20.66,2021
23,Cincinnati Bengals,17,436,1742,16,46,4.0,102.5,18,-18.66,2021
24,New York Giants,17,419,1688,8,46,4.0,99.3,23,-18.49,2021
25,Los Angeles Rams,17,420,1683,10,39,4.0,99.0,12,-56.30,2021
26,Tampa Bay Buccaneers,17,385,1672,18,55,4.3,98.4,12,28.70,2021
27,New York Jets,17,380,1667,14,55,4.4,98.1,14,15.63,2021
28,Las Vegas Raiders,17,414,1617,14,31,3.9,95.1,29,-36.26,2021
29,Pittsburgh Steelers,17,411,1583,10,37,3.9,93.1,19,-12.29,2021
30,Miami Dolphins,17,442,1568,12,30,3.5,92.2,29,-45.53,2021
31,Atlanta Falcons,17,393,1451,11,39,3.7,85.4,24,-38.99,2021
32,Houston Texans,17,420,1422,8,36,3.4,83.6,18,-58.45,2021
1,Baltimore Ravens,16,555,3071,24,72,5.5,191.9,25,116.76,2020
2,Tennessee Titans,16,521,2690,26,94,5.2,168.1,15,58.09,2020
3,Cleveland Browns,16,495,2374,21,59,4.8,148.4,23,33.06,2020
4,New England Patriots,16,502,2346,20,49,4.7,146.6,19,57.63,2020
5,Minnesota Vikings,16,468,2283,20,70,4.9,142.7,22,32.49,2020
6,New Orleans Saints,16,494,2265,30,49,4.6,141.6,27,49.14,2020
7,Arizona Cardinals,16,479,2237,22,69,4.7,139.8,22,49.64,2020
8,Green Bay Packers,16,443,2118,16,77,4.8,132.4,11,43.48,2020
9,Philadelphia Eagles,16,403,2027,16,82,5.0,126.7,31,30.39,2020
10,Los Angeles Rams,16,473,2018,19,61,4.3,126.1,19,-21.02,2020
11,Indianapolis Colts,16,459,1996,20,62,4.3,124.8,8,12.49,2020
12,Seattle Seahawks,16,411,1971,15,50,4.8,123.2,14,26.56,2020
13,Denver Broncos,16,442,1918,13,65,4.3,119.9,23,-13.97,2020
14,Las Vegas Raiders,16,457,1916,20,43,4.2,119.8,24,17.40,2020
15,San Francisco 49ers,16,437,1889,19,80,4.3,118.1,20,-18.51,2020
16,Kansas City Chiefs,16,403,1799,13,32,4.5,112.4,19,31.62,2020
