Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd,Year
1,Washington Commanders,17,44,336,0,19,7.6,41,902,0,45,22.0,7239,2022
2,New England Patriots,17,39,418,1,84,10.7,36,856,0,46,23.8,7391,2022
3,Tampa Bay Buccaneers,17,38,391,0,24,10.3,28,595,0,54,21.3,7199,2022
4,Denver Broncos,17,37,308,0,30,8.3,24,420,0,29,17.5,6780,2022
5,Houston Texans,17,37,362,0,31,9.8,22,513,0,50,23.3,6260,2022
6,Tennessee Titans,17,36,303,0,46,8.4,38,792,0,37,20.8,6599,2022
7,Kansas City Chiefs,17,36,241,0,22,6.7,36,692,0,48,19.2,8390,2022
8,Green Bay Packers,17,35,316,0,24,9.0,48,1205,1,105,25.1,7947,2022
9,Arizona Cardinals,17,35,289,0,28,8.3,31,686,0,44,22.1,7104,2022
10,Philadelphia Eagles,17,35,323,0,27,9.2,30,663,0,66,22.1,8057,2022
11,Indianapolis Colts,17,34,289,0,24,8.5,43,1197,0,89,27.8,7415,2022
12,Carolina Panthers,17,34,216,0,22,6.4,31,747,0,66,24.1,6684,2022
13,Cincinnati Bengals,16,33,340,0,27,10.3,29,596,0,42,20.6,7123,2022
14,San Francisco 49ers,17,33,356,0,35,10.8,26,599,0,39,23.0,7732,2022
15,Cleveland Browns,17,31,298,1,76,9.6,41,943,0,48,23.0,7550,2022
16,Buffalo Bills,16,29,276,0,28,9.5,36,908,2,101,25.2,7894,2022
17,Jacksonville Jaguars,17,29,230,0,22,7.9,29,721,0,54,24.9,7519,2022
18,Los Angeles Chargers,17,29,339,0,28,11.7,27,512,0,33,19.0,7383,2022
19,New York Giants,17,29,179,0,23,6.2,26,555,0,47,21.3,6794,2022
20,Dallas Cowboys,17,29,303,0,52,10.4,22,526,0,63,23.9,7204,2022
21,Las Vegas Raiders,17,27,156,0,17,5.8,32,668,0,33,20.9,7331,2022
22,New Orleans Saints,17,27,243,0,42,9.0,27,595,0,33,22.0,6932,2022
23,Pittsburgh Steelers,17,27,160,0,24,5.9,24,510,0,89,21.3,6544,2022
24,Minnesota Vikings,17,26,167,0,25,6.4,36,920,1,97,25.6,7854,2022
25,Los Angeles Rams,17,25,183,0,22,7.3,33,663,0,34,20.1,6266,2022
26,Chicago Bears,17,23,198,0,27,8.6,38,996,0,63,26.2,6975,2022
27,New York Jets,17,21,240,0,22,11.4,31,666,0,42,21.5,6716,2022
28,Detroit Lions,17,20,264,1,47,13.2,34,889,0,52,26.1,7946,2022
29,Baltimore Ravens,17,20,214,0,46,10.7,27,659,1,103,24.4,6891,2022
30,Miami Dolphins,17,19,111,0,15,5.8,29,549,0,31,18.9,7310,2022
31,Atlanta Falcons,17,18,292,0,56,16.2,28,634,1,103,22.6,6735,2022
32,Seattle Seahawks,17,16,109,0,20,6.8,30,728,0,50,24.3,7417,2022
1,Cleveland Browns,17,47,337,0,24,7.2,40,828,0,35,20.7,7425,2021
2,Pittsburgh Steelers,17,40,370,0,23,9.3,38,849,0,40,22.3,6912,2021
3,Buffalo Bills,17,37,316,0,26,8.5,33,790,0,75,23.9,8033,2021
4,Cincinnati Bengals,17,36,261,0,17,7.3,33,662,0,44,20.1,7850,2021
5,New Orleans Saints,17,35,349,0,34,10.0,37,838,0,39,22.6,6937,2021
6,Tampa Bay Buccaneers,17,35,250,0,43,7.1,30,592,0,41,19.7,8092,2021
7,San Francisco 49ers,17,34,279,0,27,8.2,34,642,0,68,18.9,7682,2021
8,Philadelphia Eagles,17,33,239,0,39,7.2,34,630,0,44,18.5,7395,2021
9,Las Vegas Raiders,17,32,309,0,41,9.7,35,694,0,34,19.8,7539,2021
10,Tennessee Titans,17,30,293,0,55,9.8,40,778,0,37,19.5,7403,2021
11,Chicago Bears,17,29,338,1,97,11.7,51,1180,0,50,23.1,7371,2021
12,Miami Dolphins,17,29,190,0,18,6.6,19,330,0,31,17.4,6256,2021
13,Dallas Cowboys,17,28,185,0,21,6.6,29,719,1,100,24.8,8466,2021
14,New England Patriots,17,28,316,0,27,11.3,25,544,0,37,21.8,7423,2021
15,Denver Broncos,17,28,230,0,25,8.2,18,291,0,26,16.2,6637,2021
16,Houston Texans,17,26,188,0,20,7.2,43,1006,1,98,23.4,6561,2021
17,New York Giants,17,26,197,0,26,7.6,33,683,0,38,20.7,6181,2021
18,Baltimore Ravens,17,26,360,0,42,13.8,32,737,0,47,23.0,7900,2021
19,Minnesota Vikings,17,26,206,0,45,7.9,32,849,2,99,26.5,7699,2021
20,Arizona Cardinals,17,26,238,0,48,9.2,29,611,0,32,21.1,7803,2021
21,Green Bay Packers,17,25,199,0,23,8.0,30,531,0,41,17.7,7331,2021
22,Carolina Panthers,17,24,213,0,22,8.9,28,620,0,39,22.1,6450,2021
23,Atlanta Falcons,17,23,189,0,23,8.2,46,999,0,38,21.7,6872,2021
24,Seattle Seahawks,17,23,192,0,22,8.3,38,894,1,44,23.5,7070,2021
25,Indianapolis Colts,17,23,170,0,16,7.4,33,808,0,72,24.5,7334,2021
26,Detroit Lions,17,22,236,0,48,10.7,36,880,0,47,24.4,7003,2021
27,Jacksonville Jaguars,17,19,159,0,48,8.4,36,799,1,102,22.2,6446,2021
28,Los Angeles Rams,17,19,215,1,61,11.3,34,686,0,65,20.2,7675,2021
29,Kansas City Chiefs,17,19,228,0,37,12.0,30,702,0,39,23.4,8103,2021
30,Los Angeles Chargers,17,18,107,0,15,5.9,39,976,1,101,25.0,8108,2021
31,New York Jets,17,17,206,0,28,12.1,50,1371,1,102,27.4,7353,2021
