Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays.1,Yds,Start,Time,Pts,Year
1,Denver Broncos,17,199,1114,28.6,10.6,5.6,27.6,Own 26.5,2:33,1.44,2022
2,Houston Texans,17,198,1046,28.8,13.6,5.3,24.3,Own 28.2,2:29,1.43,2022
3,Minnesota Vikings,17,197,1136,36.0,11.7,5.8,30.8,Own 29.0,2:34,2.04,2022
4,Washington Commanders,17,197,1170,29.4,11.7,5.9,28.4,Own 26.2,2:53,1.55,2022
5,Indianapolis Colts,17,195,1142,29.2,16.9,5.9,27.0,Own 28.9,2:40,1.39,2022
6,Dallas Cowboys,17,195,1146,41.5,10.8,5.9,30.9,Own 29.0,2:35,2.31,2022
7,Tampa Bay Buccaneers,17,194,1197,32.0,10.3,6.2,30.3,Own 26.9,2:36,1.60,2022
8,New York Jets,17,194,1111,29.9,11.9,5.7,27.8,Own 27.9,2:31,1.47,2022
9,New England Patriots,17,192,1043,32.8,12.0,5.4,27.8,Own 30.8,2:35,1.63,2022
10,Tennessee Titans,17,190,1016,27.9,10.5,5.3,26.5,Own 27.7,2:38,1.53,2022
11,Los Angeles Chargers,17,189,1187,38.1,9.5,6.3,32.3,Own 29.6,2:46,2.01,2022
12,Arizona Cardinals,17,187,1176,32.1,12.8,6.3,29.2,Own 26.8,2:45,1.65,2022
13,Seattle Seahawks,17,187,1081,40.6,11.2,5.8,31.9,Own 29.5,2:38,2.12,2022
14,Carolina Panthers,17,187,1009,35.3,9.6,5.4,27.9,Own 28.4,2:36,1.76,2022
15,San Francisco 49ers,17,186,1079,41.4,9.1,5.8,33.4,Own 32.2,2:55,2.32,2022
16,Philadelphia Eagles,17,186,1149,42.5,10.2,6.2,35.4,Own 29.1,2:48,2.50,2022
17,New Orleans Saints,17,186,1046,31.7,12.9,5.6,30.5,Own 27.7,2:42,1.73,2022
18,Chicago Bears,17,181,1020,34.3,12.7,5.6,28.7,Own 29.9,2:46,1.85,2022
19,Jacksonville Jaguars,17,181,1107,39.2,12.2,6.1,33.5,Own 29.6,2:48,2.08,2022
20,Baltimore Ravens,17,180,1095,38.9,11.7,6.1,32.0,Own 29.6,2:57,1.90,2022
21,Cleveland Browns,17,179,1141,34.6,11.2,6.4,33.0,Own 28.2,3:00,1.89,2022
22,Kansas City Chiefs,17,179,1126,46.4,10.1,6.3,39.3,Own 28.9,2:53,2.71,2022
23,Miami Dolphins,17,178,1041,38.8,11.8,5.8,34.9,Own 26.6,2:48,2.13,2022
24,New York Giants,17,177,1115,37.3,7.3,6.3,32.0,Own 26.7,2:55,1.95,2022
25,Pittsburgh Steelers,17,177,1153,35.0,9.6,6.5,30.9,Own 27.3,3:02,1.68,2022
26,Green Bay Packers,17,177,1080,36.2,11.3,6.1,32.5,Own 29.9,3:04,1.97,2022
27,Los Angeles Rams,17,176,1031,33.5,13.1,5.9,27.0,Own 26.6,2:53,1.71,2022
28,Detroit Lions,17,176,1122,43.2,8.0,6.4,36.6,Own 30.1,2:53,2.48,2022
29,Cincinnati Bengals,16,176,1082,41.5,9.7,6.1,32.7,Own 30.7,2:56,2.36,2022
30,Las Vegas Raiders,17,172,1084,42.4,12.2,6.3,34.7,Own 26.6,3:02,2.18,2022
31,Buffalo Bills,16,171,1068,45.0,15.2,6.2,37.1,Own 30.0,2:47,2.52,2022
32,Atlanta Falcons,17,167,1042,39.5,11.4,6.2,32.3,Own 27.7,3:02,2.00,2022
1,Pittsburgh Steelers,17,199,1153,34.7,9.5,5.8,26.8,Own 29.2,2:34,1.70,2021
2,New Orleans Saints,17,196,1081,33.7,8.7,5.5,26.4,Own 31.1,2:39,1.85,2021
3,Minnesota Vikings,17,196,1121,39.3,6.6,5.7,31.4,Own 28.6,2:34,2.08,2021
4,Carolina Panthers,17,195,1135,29.2,14.9,5.8,26.0,Own 28.3,2:41,1.51,2021
5,Baltimore Ravens,17,195,1222,38.5,13.3,6.3,33.0,Own 26.9,2:54,1.97,2021
6,Tampa Bay Buccaneers,17,194,1170,44.3,9.8,6.0,35.5,Own 30.0,2:40,2.59,2021
7,Dallas Cowboys,17,192,1188,43.8,9.9,6.2,35.9,Own 28.5,2:43,2.46,2021
8,Cincinnati Bengals,17,190,1080,42.6,10.0,5.7,32.2,Own 29.8,2:49,2.37,2021
9,New York Giants,17,189,1083,27.5,15.9,5.7,25.7,Own 26.6,2:35,1.31,2021
10,Las Vegas Raiders,17,188,1125,41.0,12.8,6.0,32.8,Own 28.0,2:48,2.02,2021
11,Houston Texans,17,188,1037,26.6,11.2,5.5,25.1,Own 29.3,2:33,1.41,2021
12,Seattle Seahawks,17,187,977,34.8,7.0,5.2,29.3,Own 29.6,2:19,2.07,2021
13,New York Jets,17,187,1063,29.4,14.4,5.7,27.8,Own 27.5,2:32,1.61,2021
14,Buffalo Bills,17,186,1175,45.2,11.3,6.3,34.8,Own 32.2,2:54,2.56,2021
15,Miami Dolphins,17,186,1128,30.1,12.4,6.1,27.9,Own 28.0,2:47,1.61,2021
16,Tennessee Titans,17,185,1165,38.9,13.0,6.3,31.4,Own 29.7,3:04,2.16,2021
17,San Francisco 49ers,17,182,1067,41.2,11.5,5.9,34.7,Own 26.9,2:52,2.29,2021
18,Los Angeles Rams,17,181,1092,45.9,12.2,6.0,34.9,Own 28.0,2:44,2.50,2021
19,Indianapolis Colts,17,180,1087,43.3,8.9,6.0,32.8,Own 31.6,3:02,2.39,2021
20,Arizona Cardinals,17,179,1163,44.7,7.8,6.5,35.2,Own 29.5,2:58,2.46,2021
21,Washington Commanders,17,179,1098,34.6,13.4,6.1,30.5,Own 27.3,2:54,1.80,2021
22,Detroit Lions,17,178,1086,34.3,12.9,6.1,30.8,Own 29.1,2:47,1.81,2021
23,Chicago Bears,17,178,1105,31.5,15.2,6.2,29.3,Own 28.6,2:54,1.62,2021
24,Jacksonville Jaguars,17,178,1055,26.4,15.7,5.9,29.2,Own 25.7,2:37,1.38,2021
25,Cleveland Browns,17,177,1076,32.2,12.4,6.1,32.6,Own 28.4,2:57,1.89,2021
26,Atlanta Falcons,17,177,1035,32.8,14.7,5.8,29.1,Own 28.5,2:42,1.68,2021
27,New England Patriots,17,175,1091,48.0,12.6,6.2,34.3,Own 31.6,2:59,2.54,2021
28,Los Angeles Chargers,17,175,1155,45.7,12.0,6.6,37.9,Own 29.4,2:52,2.65,2021
29,Philadelphia Eagles,17,173,1108,43.4,9.2,6.4,35.0,Own 28.1,2:56,2.34,2021
30,Green Bay Packers,17,173,1106,44.5,6.4,6.4,35.9,Own 30.0,3:14,2.54,2021
31,Denver Broncos,17,168,1067,36.9,9.5,6.4,33.5,Own 28.0,3:07,1.96,2021
32,Kansas City Chiefs,17,168,1166,48.2,13.7,6.9,40.1,Own 28.7,3:08,2.71,2021
1,Philadelphia Eagles,16,190,1085,27.9,15.3,5.7,28.1,Own 27.2,2:28,1.66,2020
2,Denver Broncos,16,188,1065,33.0,17.0,5.7,28.4,Own 26.9,2:28,1.71,2020
3,Pittsburgh Steelers,16,188,1067,37.2,8.5,5.7,28.4,Own 30.8,2:37,2.12,2020
4,Los Angeles Rams,16,184,1118,34.2,12.5,6.1,32.7,Own 27.9,2:47,1.88,2020
5,Washington Commanders,16,183,1085,33.3,13.1,5.9,27.7,Own 28.4,2:37,1.74,2020
