Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds.1,TD,Int,NY/A,1stD.1,Att.1,Yds.2,TD.1,Y/A,1stD.2,Pen,Yds.3,1stPy,Sc%,TO%,EXP,Year
1,Dallas Cowboys,11,347,4154,720,5.8,10,3,247,274,390,2886,23,7,7.0,147,307,1268,10,4.1,74,81,637,26,48.7,8.0,115.21,2023
2,Miami Dolphins,11,339,4735,690,6.9,19,8,246,265,380,3138,23,11,7.9,157,292,1597,19,5.5,74,65,527,15,42.4,15.2,110.15,2023
3,Buffalo Bills,12,328,4599,780,5.9,20,7,271,295,433,3131,24,13,7.0,149,332,1468,14,4.4,104,84,696,18,43.1,16.4,124.74,2023
4,Baltimore Ravens,12,324,4393,761,5.8,14,9,252,233,342,2490,14,5,6.7,116,390,1903,22,4.9,109,73,684,27,42.1,11.1,77.87,2023
5,San Francisco 49ers,11,310,4247,666,6.4,10,4,247,216,309,2751,19,6,8.3,133,336,1496,18,4.5,93,72,651,21,45.0,8.3,130.43,2023
6,Philadelphia Eagles,11,310,4007,736,5.4,16,6,250,242,358,2541,18,10,6.6,123,349,1466,17,4.2,102,58,479,25,45.7,13.3,93.72,2023
7,Detroit Lions,11,294,4460,754,5.9,17,9,247,275,405,2954,18,8,6.9,151,328,1506,17,4.6,80,62,578,16,39.7,13.2,83.56,2023
8,Los Angeles Chargers,11,269,3822,707,5.4,12,6,214,267,403,2679,21,6,6.3,138,279,1143,9,4.1,57,57,548,19,41.7,7.4,59.76,2023
9,Indianapolis Colts,11,269,3755,718,5.2,16,8,210,237,381,2420,11,8,6.0,119,313,1335,16,4.3,72,68,485,19,34.5,11.8,10.43,2023
10,Houston Texans,11,259,4124,711,5.8,11,6,228,251,393,3038,20,5,7.2,156,291,1086,7,3.7,55,72,603,17,41.4,9.9,71.50,2023
11,Kansas City Chiefs,11,256,4014,710,5.7,19,8,239,283,417,2843,21,11,6.6,147,279,1171,6,4.2,73,71,595,19,39.6,16.0,67.53,2023
12,Jacksonville Jaguars,11,254,3786,722,5.2,18,11,218,254,377,2618,12,7,6.5,123,320,1168,12,3.7,66,54,427,29,36.5,13.9,14.72,2023
13,Minnesota Vikings,11,253,3966,709,5.6,20,14,229,287,417,2934,22,6,6.6,147,267,1032,5,3.9,54,54,420,28,38.3,16.5,52.53,2023
14,Denver Broncos,11,246,3306,638,5.2,14,10,194,218,319,2035,20,4,5.8,99,286,1271,3,4.4,69,76,566,26,40.0,11.4,7.08,2023
15,Washington Commanders,12,246,4125,798,5.2,22,9,254,323,486,2964,18,13,5.5,154,257,1161,9,4.5,75,64,495,25,31.9,14.9,-0.86,2023
16,Cleveland Browns,11,239,3527,791,4.5,23,10,216,217,391,1993,9,13,4.7,103,367,1534,11,4.2,88,71,572,25,35.2,14.8,-67.54,2023
17,Los Angeles Rams,11,232,3747,696,5.4,12,2,220,226,380,2493,13,10,6.2,129,294,1254,11,4.3,69,64,544,22,38.5,9.6,47.94,2023
18,Green Bay Packers,11,231,3573,669,5.3,12,2,200,226,373,2443,19,10,6.2,128,274,1130,6,4.1,53,79,619,19,33.3,10.0,37.07,2023
19,Chicago Bears,11,230,3562,708,5.0,19,7,215,210,328,2028,15,12,5.6,113,348,1534,9,4.4,92,73,623,10,36.8,16.2,-5.64,2023
20,New Orleans Saints,11,229,3818,750,5.1,14,6,215,272,420,2670,13,8,6.0,126,305,1148,7,3.8,70,70,642,19,33.1,8.5,11.27,2023
21,Seattle Seahawks,11,229,3494,656,5.3,13,4,203,240,373,2440,12,9,6.1,120,256,1054,7,4.1,62,81,678,21,36.4,9.1,6.14,2023
22,Atlanta Falcons,11,213,3749,725,5.2,18,9,224,216,343,2217,10,9,5.9,119,352,1532,10,4.4,90,59,528,15,34.2,14.0,-15.65,2023
23,Cincinnati Bengals,11,212,3209,657,4.9,9,2,202,271,406,2375,17,7,5.4,129,220,834,4,3.8,52,55,463,21,32.7,7.3,5.10,2023
24,Tampa Bay Buccaneers,11,212,3345,675,5.0,12,5,198,246,382,2451,17,7,6.0,122,267,894,4,3.3,50,73,540,26,34.0,9.4,15.05,2023
25,Arizona Cardinals,12,206,3570,732,4.9,15,6,218,245,394,2109,10,9,4.9,118,305,1461,11,4.8,76,79,720,24,31.7,11.7,-50.34,2023
26,Las Vegas Raiders,12,202,3408,702,4.9,21,4,204,246,389,2416,11,17,5.8,130,285,992,8,3.5,52,56,488,22,31.3,18.3,-42.75,2023
27,Tennessee Titans,11,185,3124,618,5.1,12,4,184,194,317,1994,9,8,5.6,95,265,1130,8,4.3,59,69,558,30,35.0,9.7,9.57,2023
28,Pittsburgh Steelers,11,182,3222,660,4.9,9,3,181,212,346,1968,7,6,5.3,95,289,1254,8,4.3,72,60,520,14,27.8,6.1,-21.65,2023
29,Carolina Panthers,11,173,2925,719,4.1,14,6,205,251,409,1906,11,8,4.2,111,267,1019,3,3.8,67,74,590,27,28.3,12.3,-83.92,2023
30,New York Jets,11,163,2862,649,4.4,20,10,159,225,376,1835,7,10,4.3,98,226,1027,3,4.5,44,71,538,17,25.6,14.0,-119.18,2023
31,New York Giants,12,159,3104,749,4.1,14,5,184,231,352,1819,11,9,4.3,98,328,1285,4,3.9,63,66,533,23,20.6,9.2,-119.77,2023
32,New England Patriots,11,148,3228,685,4.7,19,5,190,243,384,2132,10,14,5.2,106,276,1096,6,4.0,71,65,478,13,23.9,14.2,-83.14,2023
,Avg Team,,242.2,3717.5,708.2,5.2,15.4,6.5,217.6,246.6,380.4,2459.7,15.2,8.9,6.0,125.0,298.4,1257.8,9.5,4.2,71.5,68.0,563.3,21.2,35.8,12.0,16.9,2023
,League Total,,7749,118960,22661,5.2,494,208,6964,7891,12173,78711,485,286,6.0,3999,9550,40249,304,4.2,2287,2176,18025,678,35.8,12.0,,2023
,Avg Tm/G,,21.6,332.3,63.3,5.2,1.4,0.6,19.5,22.0,34.0,219.9,1.4,0.8,6.0,11.2,26.7,112.4,0.8,4.2,6.4,6.1,50.3,1.9,35.8,12.0,,2023
