Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,EXP,Year
1,Miami Dolphins,11,265,380,69.7,3138,23,6.1,11.1,2.9,69,8.5,8.4,12.2,285.3,103.9,18,106,4.5,7.9,7.8,1.1,1.2,101.77,2023
2,Buffalo Bills,12,295,433,68.1,3131,24,5.5,13,3.0,81,7.4,7.2,10.9,260.9,95.8,15,83,3.3,7.0,6.8,1,1,92.87,2023
3,Houston Texans,11,251,393,63.9,3038,20,5.1,5,1.3,75,8.3,8.8,13.0,276.2,101.7,27,236,6.4,7.2,7.7,1,2,97.87,2023
4,Washington Commanders,12,323,486,66.5,2964,18,3.7,13,2.7,51,6.9,6.4,10.3,247.0,87.3,55,375,10.2,5.5,5.1,2,2,-1.09,2023
5,Detroit Lions,11,275,405,67.9,2954,18,4.4,8,2.0,46,7.6,7.6,11.2,268.5,96.9,21,121,4.9,6.9,6.9,2,3,68.78,2023
6,Minnesota Vikings,11,287,417,68.8,2934,22,5.3,6,1.4,62,7.4,7.8,10.7,266.7,101.8,25,145,5.7,6.6,7.0,1,1,66.82,2023
7,Dallas Cowboys,11,274,390,70.3,2886,23,5.9,7,1.8,60,7.8,8.2,11.1,262.4,105.4,23,163,5.6,7.0,7.3,0,1,108.95,2023
8,Kansas City Chiefs,11,283,417,67.9,2843,21,5.0,11,2.6,54,7.1,6.9,10.4,258.5,93.9,14,105,3.2,6.6,6.4,0,1,70.38,2023
9,San Francisco 49ers,11,216,309,69.9,2751,19,6.1,6,1.9,76,9.3,9.7,13.3,250.1,111.5,21,127,6.4,8.3,8.7,,,126.82,2023
10,Los Angeles Chargers,11,267,403,66.3,2679,21,5.2,6,1.5,60,7.1,7.5,10.8,243.5,98.2,25,196,5.8,6.3,6.6,1,1,73.87,2023
11,New Orleans Saints,11,272,420,64.8,2670,13,3.1,8,1.9,58,6.7,6.5,10.4,242.7,86.5,25,160,5.6,6.0,5.8,0,2,26.30,2023
12,Jacksonville Jaguars,11,254,377,67.4,2618,12,3.2,7,1.9,57,7.4,7.2,10.9,238.0,91.7,25,154,6.2,6.5,6.3,1,2,60.87,2023
13,Philadelphia Eagles,11,242,358,67.6,2541,18,5.0,10,2.8,63,7.5,7.3,11.1,231.0,94.9,29,156,7.5,6.6,6.3,3,4,71.71,2023
14,Los Angeles Rams,11,226,380,59.5,2493,13,3.4,10,2.6,49,7.0,6.5,11.8,226.6,81.3,22,168,5.5,6.2,5.7,1,2,30.39,2023
15,Baltimore Ravens,12,233,342,68.1,2490,14,4.1,5,1.5,80,7.8,7.9,11.4,207.5,98.8,29,166,7.8,6.7,6.9,,,40.08,2023
16,Tampa Bay Buccaneers,11,246,382,64.4,2451,17,4.5,7,1.8,70,6.8,6.8,10.5,222.8,91.2,26,137,6.4,6.0,6.1,0,1,50.45,2023
17,Green Bay Packers,11,226,373,60.6,2443,19,5.1,10,2.7,77,7.0,6.8,11.6,222.1,87.6,22,170,5.6,6.2,6.0,2,2,69.54,2023
18,Seattle Seahawks,11,240,373,64.3,2440,12,3.2,9,2.4,64,7.1,6.7,11.0,221.8,86.0,27,210,6.8,6.1,5.7,2,3,24.57,2023
19,Indianapolis Colts,11,237,381,62.2,2420,11,2.9,8,2.1,75,6.7,6.3,10.8,220.0,82.7,24,129,5.9,6.0,5.6,1,1,22.93,2023
20,Las Vegas Raiders,12,246,389,63.2,2416,11,2.8,17,4.4,50,6.8,5.4,10.7,201.3,74.2,28,214,6.7,5.8,4.5,2,3,7.88,2023
21,Cincinnati Bengals,11,271,406,66.7,2375,17,4.2,7,1.7,64,6.4,6.5,9.6,215.9,91.2,31,229,7.1,5.4,5.5,,,19.73,2023
22,Atlanta Falcons,11,216,343,63.0,2217,10,2.9,9,2.6,60,7.1,6.5,11.2,201.5,82.8,30,211,8.0,5.9,5.4,2,4,-1.89,2023
23,New England Patriots,11,243,384,63.3,2132,10,2.6,14,3.6,58,5.9,4.8,9.4,193.8,73.0,25,146,6.1,5.2,4.2,1,1,-68.97,2023
24,Arizona Cardinals,12,245,394,62.2,2109,10,2.5,9,2.3,69,6.0,5.4,9.6,175.8,77.7,33,241,7.7,4.9,4.5,1,1,-55.51,2023
25,Denver Broncos,11,218,319,68.3,2035,20,6.3,4,1.3,60,6.9,7.6,10.1,185.0,103.4,33,164,9.4,5.8,6.4,4,4,16.56,2023
26,Chicago Bears,11,210,328,64.0,2028,15,4.6,12,3.7,58,6.8,6.1,10.6,184.4,83.8,32,201,8.9,5.6,5.0,,,-19.13,2023
27,Tennessee Titans,11,194,317,61.2,1994,9,2.8,8,2.5,70,7.1,6.5,11.6,181.3,81.6,36,252,10.2,5.6,5.1,1,1,17.94,2023
28,Cleveland Browns,11,217,391,55.5,1993,9,2.3,13,3.3,59,5.7,4.6,10.2,181.2,65.8,33,225,7.8,4.7,3.7,3,4,-51.41,2023
29,Pittsburgh Steelers,11,212,346,61.3,1968,7,2.0,6,1.7,72,6.2,5.9,10.2,178.9,78.6,25,188,6.7,5.3,5.0,3,3,-16.33,2023
30,Carolina Panthers,11,251,409,61.4,1906,11,2.7,8,2.0,48,5.5,5.1,8.9,173.3,76.9,43,339,9.5,4.2,3.9,1,1,-61.56,2023
31,New York Jets,11,225,376,59.8,1835,7,1.9,10,2.7,68,5.8,5.0,9.7,166.8,71.2,47,339,11.1,4.3,3.6,3,2,-84.35,2023
32,New York Giants,12,231,352,65.6,1819,11,3.1,9,2.6,58,6.2,5.7,9.5,151.6,82.4,69,366,16.4,4.3,3.9,1,2,-69.95,2023
,Avg Team,,246.6,380.4,64.8,2459.7,15.2,4.0,8.9,2.3,63,7.0,6.7,10.8,219.9,88.7,29.3,194.4,7.2,6.00,5.8,1.3,1.8,26.2,2023
,League Total,,7891,12173,64.8,78711,485,4.0,286,2.3,81,7.0,6.7,10.8,219.9,88.7,938,6222,7.2,6.00,5.8,41,56,,2023
,Avg Tm/G,,22.0,34.0,64.8,219.9,1.4,4.0,0.8,2.3,,7.0,6.7,10.8,219.9,88.7,2.6,17.4,7.2,6.00,5.8,,,,2023
