Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP,Year
1,Baltimore Ravens,12,390,1903,22,60,4.9,158.6,19,42.63,2023
2,Miami Dolphins,11,292,1597,19,76,5.5,145.2,20,9.53,2023
3,Chicago Bears,11,348,1534,9,34,4.4,139.5,15,26.81,2023
4,Cleveland Browns,11,367,1534,11,69,4.2,139.5,20,-10.33,2023
5,Atlanta Falcons,11,352,1532,10,38,4.4,139.3,11,-4.48,2023
6,Detroit Lions,11,328,1506,17,75,4.6,136.9,13,12.56,2023
7,San Francisco 49ers,11,336,1496,18,65,4.5,136.0,11,11.64,2023
8,Buffalo Bills,12,332,1468,14,42,4.4,122.3,12,36.27,2023
9,Philadelphia Eagles,11,349,1466,17,43,4.2,133.3,12,22.79,2023
10,Arizona Cardinals,12,305,1461,11,45,4.8,121.8,12,20.10,2023
11,Indianapolis Colts,11,313,1335,16,56,4.3,121.4,14,-2.76,2023
12,New York Giants,12,328,1285,4,36,3.9,107.1,19,-40.73,2023
13,Denver Broncos,11,286,1271,3,38,4.4,115.5,15,0.52,2023
14,Dallas Cowboys,11,307,1268,10,46,4.1,115.3,9,3.30,2023
15,Los Angeles Rams,11,294,1254,11,56,4.3,114.0,5,15.48,2023
16,Pittsburgh Steelers,11,289,1254,8,74,4.3,114.0,8,1.55,2023
17,Kansas City Chiefs,11,279,1171,6,48,4.2,106.5,13,3.89,2023
18,Jacksonville Jaguars,11,320,1168,12,35,3.7,106.2,19,-42.98,2023
19,Washington Commanders,12,257,1161,9,29,4.5,96.8,16,6.82,2023
20,New Orleans Saints,11,305,1148,7,29,3.8,104.4,10,-5.79,2023
21,Los Angeles Chargers,11,279,1143,9,55,4.1,103.9,14,-10.40,2023
22,Tennessee Titans,11,265,1130,8,63,4.3,102.7,8,-2.83,2023
23,Green Bay Packers,11,274,1130,6,40,4.1,102.7,15,-19.25,2023
24,New England Patriots,11,276,1096,6,64,4.0,99.6,11,-6.59,2023
25,Houston Texans,11,291,1086,7,22,3.7,98.7,11,-15.90,2023
26,Seattle Seahawks,11,256,1054,7,45,4.1,95.8,5,-6.67,2023
27,Minnesota Vikings,11,267,1032,5,31,3.9,93.8,21,-16.70,2023
28,New York Jets,11,226,1027,3,83,4.5,93.4,20,-22.87,2023
29,Carolina Panthers,11,267,1019,3,26,3.8,92.6,13,-15.99,2023
30,Las Vegas Raiders,12,285,992,8,63,3.5,82.7,10,-47.09,2023
31,Tampa Bay Buccaneers,11,267,894,4,38,3.3,81.3,15,-27.94,2023
32,Cincinnati Bengals,11,220,834,4,22,3.8,75.8,7,-8.32,2023
,Avg Team,,298.4,1257.8,9.5,48,4.2,112.4,13.2,-2.9,2023
,League Total,,9550,40249,304,83,4.2,112.4,423,,2023
,Avg Tm/G,,26.7,112.4,0.8,,4.2,112.4,1.2,,2023
