Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds.1,TD.1,Lng.1,Y/Rt,APYd,Year
1,Cleveland Browns,10,29,238,0,21,8.2,7,162,0,33,23.1,3939,2023
2,Washington Commanders,12,28,207,0,61,7.4,17,455,0,40,26.8,5195,2023
3,Kansas City Chiefs,10,27,204,0,50,7.6,4,68,0,20,17.0,4129,2023
4,Tennessee Titans,10,25,198,0,21,7.9,10,189,0,29,18.9,3517,2023
5,Carolina Panthers,10,23,222,1,79,9.7,12,376,0,52,31.3,3779,2023
6,San Francisco 49ers,11,23,194,0,19,8.4,11,237,0,34,21.5,5049,2023
7,Minnesota Vikings,11,23,182,0,24,7.9,6,138,0,33,23.0,4632,2023
8,Seattle Seahawks,11,21,235,0,32,11.2,18,471,0,66,26.2,4591,2023
9,New York Giants,11,21,143,0,17,6.8,12,249,0,36,20.8,3818,2023
10,Cincinnati Bengals,10,21,272,1,81,13.0,11,236,0,41,21.5,3804,2023
11,Arizona Cardinals,11,21,207,0,49,9.9,10,180,0,28,18.0,3941,2023
12,Baltimore Ravens,11,21,273,0,70,13.0,8,153,0,28,19.1,4795,2023
13,Green Bay Packers,11,19,175,0,35,9.2,22,563,0,51,25.6,4569,2023
14,Philadelphia Eagles,10,19,277,0,52,14.6,5,103,0,38,20.6,4270,2023
15,Houston Texans,10,18,143,0,20,7.9,11,285,1,85,25.9,4459,2023
16,Los Angeles Rams,10,18,128,0,29,7.1,6,112,0,36,18.7,3725,2023
17,Indianapolis Colts,10,18,166,0,32,9.2,5,118,0,42,23.6,3941,2023
18,New Orleans Saints,10,17,253,1,76,14.9,16,343,0,28,21.4,4198,2023
19,Pittsburgh Steelers,10,17,136,0,21,8.0,16,369,0,37,23.1,3642,2023
20,New York Jets,10,17,170,1,65,10.0,13,274,0,30,21.1,3573,2023
21,Tampa Bay Buccaneers,10,16,147,0,51,9.2,14,281,0,32,20.1,3671,2023
22,Detroit Lions,11,16,168,0,24,10.5,13,289,0,31,22.2,5147,2023
23,Dallas Cowboys,11,16,92,0,15,5.8,12,275,0,63,22.9,4941,2023
24,Buffalo Bills,11,16,149,0,24,9.3,10,214,0,41,21.4,4618,2023
25,New England Patriots,10,16,108,0,25,6.8,8,184,0,43,23.0,3418,2023
26,Jacksonville Jaguars,10,15,149,0,48,9.9,11,265,0,53,24.1,4058,2023
27,Atlanta Falcons,10,15,79,0,16,5.3,9,150,0,29,16.7,3841,2023
28,Los Angeles Chargers,10,15,238,1,87,15.9,6,124,0,27,20.7,4156,2023
29,Miami Dolphins,10,14,127,0,18,9.1,10,246,0,33,24.6,4878,2023
30,Las Vegas Raiders,11,14,149,0,32,10.6,7,170,0,40,24.3,3790,2023
31,Chicago Bears,11,10,79,0,14,7.9,13,271,0,37,20.8,4203,2023
32,Denver Broncos,10,9,186,0,45,20.7,7,235,1,99,33.6,3705,2023
