Rk,Tm,G,FGA,FGM,FGA.1,FGM.1,FGA.2,FGM.2,FGA.3,FGM.3,FGA.4,FGM.4,FGA.5,FGM.5,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Year
1,Dallas Cowboys,11,,,9,9,7,7,1,1,5,5,22,22,58,100.0%,36,33,91.7%,72,4687,67,93.1%,65.1,2023
2,San Francisco 49ers,11,,,6,6,7,7,4,2,3,2,20,17,57,85.0%,37,37,100.0%,63,3979,35,55.6%,63.2,2023
3,Baltimore Ravens,11,,,6,6,6,6,6,6,5,1,23,19,50,82.6%,34,33,97.1%,65,4173,55,84.6%,64.2,2023
4,Seattle Seahawks,11,,,3,3,11,10,9,8,8,4,31,25,55,80.6%,20,20,100.0%,56,3586,38,67.9%,64.0,2023
5,Miami Dolphins,10,,,2,2,1,1,6,5,3,1,12,9,51,75.0%,39,38,97.4%,57,3714,47,82.5%,65.2,2023
6,Buffalo Bills,11,,,1,1,9,9,3,2,6,4,19,16,54,84.2%,31,30,96.8%,62,3899,36,58.1%,62.9,2023
7,Philadelphia Eagles,10,,,5,5,6,5,3,3,6,5,20,18,61,90.0%,30,29,96.7%,55,3565,45,81.8%,64.8,2023
8,Minnesota Vikings,11,1,1,6,6,5,5,4,2,6,3,22,17,54,77.3%,28,26,92.9%,58,3697,43,74.1%,63.7,2023
9,Detroit Lions,11,,,2,1,9,9,2,2,2,1,15,13,52,86.7%,32,31,96.9%,59,3675,36,61.0%,62.3,2023
10,Washington Commanders,12,,,3,2,6,6,8,6,4,3,21,17,61,81.0%,25,23,92.0%,54,3412,52,96.3%,63.2,2023
11,Los Angeles Chargers,10,,,5,5,4,4,3,3,5,4,17,16,55,94.1%,29,29,100.0%,54,3477,46,85.2%,64.4,2023
12,Indianapolis Colts,10,,,5,5,2,2,4,3,9,7,20,17,57,85.0%,25,25,100.0%,55,3542,42,76.4%,64.4,2023
13,Cleveland Browns,10,,,6,6,4,4,12,9,7,7,29,26,58,89.7%,16,15,93.8%,54,3427,34,63.0%,63.5,2023
14,Houston Texans,10,,,8,8,10,10,4,3,2,1,24,22,50,91.7%,20,20,100.0%,53,3344,32,60.4%,63.1,2023
15,Jacksonville Jaguars,10,,,2,2,7,7,8,7,5,4,22,20,56,90.9%,22,22,100.0%,53,3402,39,73.6%,64.2,2023
16,Kansas City Chiefs,10,,,3,3,10,10,3,3,3,3,19,19,60,100.0%,24,24,100.0%,49,3206,47,95.9%,65.4,2023
17,New Orleans Saints,10,,,7,6,4,4,7,5,6,4,24,19,55,79.2%,19,19,100.0%,51,3326,47,92.2%,65.2,2023
18,Los Angeles Rams,10,,,4,4,5,5,11,8,8,4,28,21,54,75.0%,15,14,93.3%,49,3091,41,83.7%,63.1,2023
19,Green Bay Packers,11,,,5,5,7,7,3,1,4,2,19,15,52,78.9%,23,20,87.0%,51,3252,26,51.0%,63.8,2023
20,Chicago Bears,11,,,4,4,7,7,4,3,5,5,20,19,54,95.0%,22,21,95.5%,55,3431,44,80.0%,62.4,2023
21,Cincinnati Bengals,10,,,4,4,1,1,5,5,10,6,20,16,56,80.0%,22,22,100.0%,47,2974,37,78.7%,63.3,2023
22,Denver Broncos,10,,,7,7,10,9,3,3,4,3,24,22,52,91.7%,17,15,88.2%,51,3218,46,90.2%,63.1,2023
23,Las Vegas Raiders,11,,,8,8,3,3,8,7,3,1,22,19,54,86.4%,16,16,100.0%,47,3018,31,66.0%,64.2,2023
24,Tennessee Titans,10,,,6,6,8,8,4,4,4,3,22,21,53,95.5%,15,15,100.0%,44,2719,25,56.8%,61.8,2023
25,Atlanta Falcons,10,,,6,6,6,6,7,6,3,3,22,21,54,95.5%,15,14,93.3%,47,3043,39,83.0%,64.7,2023
26,Tampa Bay Buccaneers,10,,,5,5,7,7,2,1,5,4,19,17,57,89.5%,17,17,100.0%,47,2986,30,63.8%,63.5,2023
27,Carolina Panthers,10,,,2,2,6,6,7,6,5,3,20,17,56,85.0%,15,14,93.3%,41,2435,26,63.4%,59.4,2023
28,Pittsburgh Steelers,10,,,5,5,3,3,6,6,5,4,19,18,57,94.7%,14,14,100.0%,44,2797,31,70.5%,63.6,2023
29,New York Giants,11,,,2,2,6,4,7,4,4,3,19,13,57,68.4%,14,14,100.0%,40,2570,32,80.0%,64.3,2023
30,Arizona Cardinals,11,,,3,3,6,5,5,5,7,6,21,19,62,90.5%,12,11,91.7%,48,3012,41,85.4%,62.8,2023
31,New York Jets,10,,,4,4,9,9,8,8,3,2,24,23,53,95.8%,7,7,100.0%,43,2774,37,86.0%,64.5,2023
32,New England Patriots,10,,,3,3,4,3,7,5,3,1,17,12,51,70.6%,13,13,100.0%,38,2379,25,65.8%,62.6,2023
