Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,D2P,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G,Year
1,San Francisco 49ers,11,18,19,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,37,Unnamed: 11,0,Unnamed: 13,37.1,37.2,17,20,Unnamed: 18,310,28.2,2023
2,Baltimore Ravens,11,21,13,,,,1,,35,1,1,,33,34,19,23,1,304,27.6,2023
3,Kansas City Chiefs,10,4,19,,,1,,,24,,0,,24,24,19,19,,225,22.5,2023
4,Dallas Cowboys,11,10,23,,,1,5,1,40,3,4,,33,36,22,22,1,347,31.5,2023
5,Buffalo Bills,11,12,22,,,,1,,35,3,4,,30,31,16,19,,294,26.7,2023
6,Cleveland Browns,10,11,8,,,1,1,,21,4,5,,15,16,26,29,,227,22.7,2023
7,Pittsburgh Steelers,10,7,7,,,1,1,,16,,2,,14,14,18,19,1,166,16.6,2023
8,New Orleans Saints,10,7,13,1,,,1,,22,3,3,,19,19,19,24,,214,21.4,2023
9,Tampa Bay Buccaneers,10,4,15,,,,1,,20,2,3,,17,17,17,19,,192,19.2,2023
10,Green Bay Packers,11,6,19,,,1,1,,27,2,4,,20,23,15,19,,231,21.0,2023
11,New York Jets,10,3,6,1,,1,,,11,2,3,,7,7,23,24,2,150,15.0,2023
12,Jacksonville Jaguars,10,11,11,,,,2,,24,2,2,,22,22,20,22,,230,23.0,2023
13,Las Vegas Raiders,11,7,10,,,,1,,18,1,2,,16,16,19,22,1,185,16.8,2023
14,Houston Texans,10,6,18,,1,,,,25,1,5,,20,20,22,24,,238,23.8,2023
15,Minnesota Vikings,11,5,22,,,2,,,29,1,1,,26,28,17,22,,253,23.0,2023
16,Philadelphia Eagles,10,15,15,,,,1,,31,1,1,,29,30,18,20,1,273,27.3,2023
17,Tennessee Titans,10,6,9,,,,,,15,,0,,15,15,21,22,,168,16.8,2023
18,Atlanta Falcons,10,9,9,,,,,,18,1,3,,14,15,21,22,1,189,18.9,2023
19,Los Angeles Rams,10,10,9,,,,,,19,2,3,,14,15,21,28,,195,19.5,2023
20,Cincinnati Bengals,10,4,16,1,,,1,,22,,0,,22,22,16,20,,202,20.2,2023
21,Seattle Seahawks,11,7,12,,,,3,,22,1,1,,20,20,25,31,,229,20.8,2023
22,Detroit Lions,11,17,18,,,,1,,36,3,4,,31,32,13,15,1,294,26.7,2023
23,New England Patriots,10,5,10,,,,,,15,,2,,13,13,12,17,1,141,14.1,2023
24,Los Angeles Chargers,10,9,20,1,,,,,30,1,1,,29,29,16,17,,259,25.9,2023
25,Miami Dolphins,10,17,22,,,,1,,40,,1,,38,39,9,12,,305,30.5,2023
26,Indianapolis Colts,10,13,11,,,1,2,,27,2,2,,25,25,17,20,,242,24.2,2023
27,Arizona Cardinals,11,10,9,,,1,,,20,2,8,,11,12,19,21,,192,17.5,2023
28,New York Giants,11,4,10,,,,2,,16,,2,,14,14,13,19,,149,13.5,2023
29,Chicago Bears,11,9,15,,,,1,,25,1,3,,21,22,19,20,,230,20.9,2023
30,Denver Broncos,10,1,19,,1,1,,,22,2,5,,15,17,22,24,,217,21.7,2023
31,Carolina Panthers,10,2,11,1,,,2,,16,1,1,,14,15,17,20,,163,16.3,2023
32,Washington Commanders,12,9,18,,,1,,,28,2,3,,23,25,17,21,,246,20.5,2023
