Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct,Year
1,Dallas Cowboys,11,151,72,47.7%,15,7,46.7%,46,25,54.3%,2023
2,Philadelphia Eagles,10,137,66,48.2%,17,13,76.5%,39,23,59.0%,2023
3,Green Bay Packers,11,149,65,43.6%,19,10,52.6%,38,19,50.0%,2023
4,Detroit Lions,11,152,65,42.8%,27,13,48.1%,38,21,55.3%,2023
5,Buffalo Bills,11,133,64,48.1%,11,6,54.5%,41,27,65.9%,2023
6,Chicago Bears,11,146,63,43.2%,18,9,50.0%,29,18,62.1%,2023
7,Minnesota Vikings,11,150,62,41.3%,19,14,73.7%,36,18,50.0%,2023
8,Baltimore Ravens,11,139,62,44.6%,7,3,42.9%,46,30,65.2%,2023
9,Houston Texans,10,137,60,43.8%,11,5,45.5%,36,17,47.2%,2023
10,Washington Commanders,12,157,60,38.2%,17,8,47.1%,36,21,58.3%,2023
11,Los Angeles Chargers,10,139,60,43.2%,17,10,58.8%,33,22,66.7%,2023
12,Kansas City Chiefs,10,129,59,45.7%,10,5,50.0%,37,20,54.1%,2023
13,Atlanta Falcons,10,140,58,41.4%,13,6,46.2%,32,17,53.1%,2023
14,Indianapolis Colts,10,143,56,39.2%,18,8,44.4%,30,18,60.0%,2023
15,Tampa Bay Buccaneers,10,138,56,40.6%,11,7,63.6%,28,13,46.4%,2023
16,Los Angeles Rams,10,135,55,40.7%,13,7,53.8%,26,15,57.7%,2023
17,New Orleans Saints,10,148,54,36.5%,14,8,57.1%,35,17,48.6%,2023
18,Carolina Panthers,10,145,54,37.2%,23,13,56.5%,24,12,50.0%,2023
19,San Francisco 49ers,11,117,52,44.4%,7,4,57.1%,44,27,61.4%,2023
20,New York Giants,11,165,51,30.9%,23,11,47.8%,28,11,39.3%,2023
21,Cleveland Browns,10,153,50,32.7%,13,7,53.8%,30,17,56.7%,2023
22,Arizona Cardinals,11,136,48,35.3%,22,6,27.3%,26,14,53.8%,2023
23,Denver Broncos,10,123,47,38.2%,8,4,50.0%,36,18,50.0%,2023
24,Pittsburgh Steelers,10,136,47,34.6%,9,4,44.4%,19,9,47.4%,2023
25,Cincinnati Bengals,10,129,46,35.7%,11,5,45.5%,27,16,59.3%,2023
26,Jacksonville Jaguars,10,131,46,35.1%,16,7,43.8%,28,13,46.4%,2023
27,New England Patriots,10,132,45,34.1%,15,5,33.3%,22,12,54.5%,2023
28,Las Vegas Raiders,11,132,43,32.6%,17,10,58.8%,31,15,48.4%,2023
29,Seattle Seahawks,11,134,42,31.3%,12,6,50.0%,36,17,47.2%,2023
30,Miami Dolphins,10,107,41,38.3%,14,5,35.7%,34,25,73.5%,2023
31,Tennessee Titans,10,121,40,33.1%,11,6,54.5%,29,10,34.5%,2023
32,New York Jets,10,131,30,22.9%,15,10,66.7%,23,6,26.1%,2023
