Rk,Tm,G,#Dr,Plays,Sc%,TO%,Plays.1,Yds,Start,Time,Pts,Year
1,Washington Commanders,12,141,819,31.9,14.9,5.8,29.3,Own 27.3,2:42,1.75,2023
2,New York Giants,11,131,718,20.6,9.2,5.5,21.9,Own 27.3,2:32,1.05,2023
3,Cleveland Browns,10,128,750,35.2,14.8,5.9,25.4,Own 29.5,2:39,1.65,2023
4,Baltimore Ravens,11,126,715,42.1,11.1,5.7,31.9,Own 32.2,2:46,2.34,2023
5,Seattle Seahawks,11,121,687,36.4,9.1,5.7,28.9,Own 30.9,2:30,1.72,2023
6,Detroit Lions,11,121,769,39.7,13.2,6.4,36.8,Own 30.1,2:55,2.35,2023
7,San Francisco 49ers,11,120,686,45.0,8.3,5.7,35.4,Own 31.8,2:55,2.58,2023
8,Arizona Cardinals,11,120,689,31.7,11.7,5.7,27.1,Own 26.0,2:34,1.58,2023
9,Green Bay Packers,11,120,688,33.3,10.0,5.7,29.7,Own 30.7,2:38,1.83,2023
10,Indianapolis Colts,10,119,668,34.5,11.8,5.6,28.2,Own 28.9,2:27,1.84,2023
11,New York Jets,10,119,618,26.9,13.4,5.2,22.7,Own 28.9,2:20,1.11,2023
12,New Orleans Saints,10,118,707,33.1,8.5,6.0,28.6,Own 30.3,2:38,1.67,2023
13,Chicago Bears,11,117,725,36.8,16.2,6.2,30.4,Own 27.6,2:56,1.92,2023
14,Buffalo Bills,11,116,707,43.1,16.4,6.1,35.3,Own 28.5,2:54,2.47,2023
15,Las Vegas Raiders,11,115,666,31.3,18.3,5.8,26.6,Own 30.5,2:41,1.53,2023
16,Minnesota Vikings,11,115,731,38.3,16.5,6.4,34.4,Own 27.1,2:51,2.09,2023
17,Jacksonville Jaguars,10,115,676,36.5,13.9,5.9,28.9,Own 31.0,2:44,1.86,2023
18,Pittsburgh Steelers,10,115,611,27.8,6.1,5.3,24.4,Own 26.9,2:24,1.32,2023
19,Atlanta Falcons,10,114,685,34.2,14.0,6.0,29.4,Own 27.3,2:40,1.66,2023
20,Miami Dolphins,10,114,633,42.1,14.0,5.6,37.8,Own 29.1,2:36,2.63,2023
21,New England Patriots,10,113,634,23.9,14.2,5.6,26.0,Own 27.1,2:25,1.25,2023
22,Dallas Cowboys,11,113,742,48.7,8.0,6.6,36.9,Own 29.1,3:05,2.63,2023
23,Houston Texans,10,111,677,41.4,9.9,6.1,33.9,Own 27.3,2:41,2.11,2023
24,Cincinnati Bengals,10,110,636,32.7,7.3,5.8,27.1,Own 28.3,2:45,1.71,2023
25,Los Angeles Chargers,10,108,658,41.7,7.4,6.1,32.8,Own 27.4,2:40,2.32,2023
26,Carolina Panthers,10,106,672,28.3,12.3,6.3,25.2,Own 26.2,2:53,1.34,2023
27,Tampa Bay Buccaneers,10,106,638,34.0,9.4,6.0,28.7,Own 28.1,2:46,1.74,2023
28,Kansas City Chiefs,10,106,664,39.6,16.0,6.3,34.2,Own 27.6,2:56,2.06,2023
29,Denver Broncos,10,105,601,40.0,11.4,5.7,28.6,Own 30.8,2:43,1.96,2023
30,Philadelphia Eagles,10,105,691,45.7,13.3,6.6,34.6,Own 30.2,3:10,2.51,2023
31,Los Angeles Rams,10,104,658,38.5,9.6,6.3,31.6,Own 26.3,2:51,1.88,2023
32,Tennessee Titans,10,103,587,35.0,9.7,5.7,27.5,Own 26.8,2:51,1.63,2023
